"ID","Taxon","Common","Observer","Source","Date","Year","Phenology",,"InfestedArea_squarem",,"GrossArea_acre","Percent_Cover","Distribution","National Ownership","County","x","y","Location Description","description"
"xr347313","Carpobrotus edulis","Iceplant","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2005-10-12",2005,,,176,,"200 Square Meters",100,,"* National Park Service","Marin",37.99907099,-123.0108772,,
"xr347429","Carpobrotus edulis","Iceplant","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2005-11-08",2005,,,130,,"1000 Square Meters",25,,"* National Park Service","Marin",38.02513841,-122.8798073,,
"xr347475","Carpobrotus edulis","Iceplant","Jim Bromberg","PORE Vegetation Management; SFAN; BAEDN","2005-12-02",2005,,,1520,,"4000 Square Meters",100,,"* National Park Service","Marin",38.03124611,-122.9506608,,
"mcp150","Carpobrotus edulis","Iceplant","Pete Frye","MCOSD","2005-12-15",2005,"Mature",,,,0.7744729229,5,"Single Patch","City or County Government","Marin",37.91833545,-122.66999114,,
"mcp149","Carpobrotus edulis","Iceplant","Pete Frye","MCOSD","2005-12-15",2005,"Mature",,,,26.2332032947,5,"Scattered Dense Patches","City or County Government","Marin",37.92949022,-122.68501676,,
"mcp151","Carpobrotus edulis","Iceplant","Pete Frye","MCOSD","2005-12-20",2005,"Mature",,,,1.0316521995,25,"Single Patch","City or County Government","Marin",37.91428921,-122.66510164,,
"mcp152","Carpobrotus edulis","Iceplant","Pete Frye","MCOSD","2005-12-20",2005,"Mature",,,,10.2463748643,25,"Scattered Dense Patches","City or County Government","Marin",37.90873101,-122.65527234,,
"mcp148","Carpobrotus edulis","Iceplant","Pete Frye","MCOSD","2005-12-20",2005,"Mature",,,,1.1018701544,50,"Dense Monoculture","City or County Government","Marin",37.93002083,-122.69639247,,
"mcp5034","Carpobrotus edulis","Iceplant","staff","MCOSD","2005-12-20",2005,"Mature",,,,0.0413690785,,"Scattered Dense Patches","City or County Government","Marin",37.92709579,-122.69542673,"2 small patches about 3 m^2 each",
"ce151","Carpobrotus edulis","Iceplant","staff","Los Angeles County, Sapphos Environmental, Inc.","2006-01-01",2006,,,,,,,,"Public Land","Los Angeles",34.203656,-118.122167,"Altadena Crest Trail",
"ce153","Carpobrotus edulis","Iceplant","Altschul, J. et al.","Coastal Conservancy, Ballona Wetland Restoration Project","2006-01-01",2006,,,,,,,,"Public Land","Los Angeles",33.971623,-118.44429,"Ballona Wetlands",
"ce219","Carpobrotus edulis","Iceplant","Peter Warner, Teresa Sholars","California State Parks","2006-01-01",2006,,,,,300,,,"Public Land","Mendocino",39.348436,-123.826818,"Point Cabrillo Light Station and Preserve",
"gr6975","Layia carnosa","Beach Layia","Jim Pittman et al.","Monterey CNPS","2006-01-01",2006,,,,,,,,"Public Land","Monterey",36.567,-121.946,"Spanish Bay, Pebble Beach",
"gr6960","Carpobrotus edulis","Iceplant","Jim Pittman et al.","Monterey CNPS","2006-01-01",2006,,,,,3000,,,"Public Land","Monterey",36.474,-121.905,"Garrapata Beach State Park Carmel-By-The-Sea",
"gr6956","Carpobrotus edulis","Iceplant","Jim Pittman et al.","Monterey CNPS","2006-01-01",2006,,,,,,,,"Public Land","Monterey",36.612,-121.723,"Fort Ord BLM Area",
"gr6958","Carpobrotus edulis","Iceplant","Jim Pittman et al.","Monterey CNPS","2006-01-01",2006,,,,,,,,"Public Land","Monterey",36.584,-121.82,"Frog Pond Natural Area Del Rey Oaks",
"gr6966","Carpobrotus edulis","Iceplant","Jim Pittman et al.","Monterey CNPS","2006-01-01",2006,,,,,,,,"Public Land","Monterey",36.805,-121.675,"Manzanita County Park Prunedale",
"gr6970","Carpobrotus edulis","Iceplant","Jim Pittman et al.","Monterey CNPS","2006-01-01",2006,,,,,,,,"Public Land","Monterey",36.295,-121.881,"Point Sur Lighthouse Park",
"gr6972","Carpobrotus edulis","Iceplant","Jim Pittman et al.","Monterey CNPS","2006-01-01",2006,,,,,367,,,"Public Land","Monterey",36.74,-121.8,"Salinas Lagoon Wildlife Area",
"gr6975","Carpobrotus edulis","Iceplant","Jim Pittman et al.","Monterey CNPS","2006-01-01",2006,,,,,,,,"Public Land","Monterey",36.567,-121.946,"Spanish Bay, Pebble Beach",
"ce147","Carpobrotus edulis","Iceplant","*staff","The Athens Group; PCR Services Corp","2006-01-01",2006,,,,,330,,,"Public Land","Orange",33.512702,-117.744426,"Aliso Creek City of Laguna Beach",
"xr347315","Carpobrotus edulis","Iceplant","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-01-25",2006,,,11.4,,"30 Square Meters",100,,"* National Park Service","Marin",37.99907099,-123.0108772,,
"xr347887","Carpobrotus edulis","Iceplant","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-01-25",2006,,,88,,"100 Square Meters",100,,"* National Park Service","Marin",38.09533444,-122.9466947,,
"sfw53","Carpobrotus edulis","Iceplant","Jake Sigg","BAEDN; SFWMA;  SNRAMP2006","2006-02-01",2006,,,,,,,,"City or County Government","San Francisco",37.753881,-122.470872,"Rock Outcrop",
"sfw50","Carpobrotus edulis","Iceplant","Jake Sigg","BAEDN; SFWMA;  SNRAMP2006","2006-02-01",2006,,,,,,,,"City or County Government","San Francisco",37.736295,-122.488804,"Pine Lake Park",
"sfw33","Carpobrotus edulis","Iceplant","Jake Sigg","BAEDN; SFWMA;  SNRAMP2006","2006-02-01",2006,,,,,,,,"City or County Government","San Francisco",37.720985,-122.491758,"Lake Merced",
"sfw27","Carpobrotus edulis","Iceplant","Jake Sigg","BAEDN; SFWMA;  SNRAMP2006","2006-02-01",2006,,,,,,,,"City or County Government","San Francisco",37.746571,-122.468654,"Hawk Hill",
"sfw26","Carpobrotus edulis","Iceplant","Jake Sigg","BAEDN; SFWMA;  SNRAMP2006","2006-02-01",2006,,,,,,,,"Public Land","San Francisco",37.756499,-122.471796,"Grandview Park",
"sfw25","Carpobrotus edulis","Iceplant","Jake Sigg","BAEDN; SFWMA;  SNRAMP2006","2006-02-01",2006,,,,,,,,"City or County Government","San Francisco",37.750003,-122.470366,"Golden Gate Heights",
"sfw24","Carpobrotus edulis","Iceplant","Lisa Wayne","BAEDN; SFWMA","2006-02-01",2006,,,,,,,,"City or County Government","San Francisco",37.740864,-122.442908,"Glen Canyon Park",
"sfw6","Carpobrotus edulis","Iceplant","Jake Sigg","BAEDN; SFWMA","2006-02-01",2006,,,,,,,,"City or County Government","San Francisco",37.743158,-122.414141,"Bernal Heights Natural Area",
"sfw61","Carpobrotus edulis","Iceplant","Jake Sigg","BAEDN; SFWMA;  SNRAMP2006","2006-02-01",2006,,,,,,,,"City or County Government","San Francisco",37.751252,-122.447757,"Twin Peaks",
"xr347224","Carpobrotus edulis","Iceplant","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-02-02",2006,,,,,,"<1",,"* National Park Service","Marin",37.99688089,-123.0105238,,
"xr347202","Carpobrotus edulis","Iceplant","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-03-09",2006,,,2640,,"3000 Square Meters",100,,"* National Park Service","Marin",37.996502,-123.0138494,,
"xr347203","Carpobrotus edulis","Iceplant","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-03-09",2006,,,2640,,"3000 Square Meters",100,,"* National Park Service","Marin",37.996502,-123.0138494,,
"xr347561","Carpobrotus edulis","Iceplant","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-03-13",2006,,,630,,"1000 Square Meters",100,,"* National Park Service","Marin",38.04786611,-122.983565,,
"xr347204","Carpobrotus edulis","Iceplant","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-03-14",2006,,,,,"3000 Square Meters","<1",,"* National Park Service","Marin",37.996502,-123.0138494,,
"gr7946","Trifolium amoenum","Showy Indian Clover","Doreen Smith et al.","Marin CNPS","2006-03-21",2006,,,,,,,,"Public Land","Marin",37.911,-122.491,"Ring Mountain Open Space",
"xr347289","Carpobrotus edulis","Iceplant","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-03-23",2006,,,1140,,"3000 Square Meters",100,,"* National Park Service","Marin",37.99809724,-123.0142028,,
"xr347290","Carpobrotus edulis","Iceplant","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-04-19",2006,,,,,"500 Square Meters","<1",,"* National Park Service","Marin",37.99809724,-123.0142028,,
"xr347304","Carpobrotus edulis","Iceplant","Kerry Cutler","PORE Vegetation Management; SFAN; BAEDN","2006-04-20",2006,,,,,"500 Square Meters","<1",,"* National Park Service","Marin",37.99889959,-123.0124489,,
"xr347205","Carpobrotus edulis","Iceplant","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-05-07",2006,,,104,,"800 Square Meters",25,,"* National Park Service","Marin",37.996502,-123.0138494,,
"ce323","Carpobrotus edulis","Iceplant","Richard Burg, Michael Bonk","California State Parks","2006-05-17",2006,,,,,670,,,"Public Land","Los Angeles",34.260869,-118.624877,"Santa Susana Pass State Historic Park",
170234,"Riparia riparia","Bank Swallow","dreierj","inaturalist","2006-05-26",2006,,,,,,,,,,39.6082010062,-121.9906425476,"Ord Bend, Sacramento River, CA",
843477,"Riparia riparia","Bank Swallow","dweeks","inaturalist","2006-05-28",2006,,,,,,,,,,41.1585563,-79.7640467,"Squaw Valley Woodlands",
"xr347206","Carpobrotus edulis","Iceplant","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-06-03",2006,,,13,,"100 Square Meters",25,,"* National Park Service","Marin",37.996502,-123.0138494,,
243325,"Charadrius nivosus","Snowy Plover","ericisley","inaturalist","2006-06-23",2006,,,,,,,,,,36.7372576269,-98.2640027921,"Vining, Oklahoma, United States","None of these are recent images 

Images taken at Great Salt plains Oklahoma"
"xr347430","Carpobrotus edulis","Iceplant","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-06-25",2006,,,3.5,,"27 Square Meters",25,,"* National Park Service","Marin",38.02513841,-122.8798073,,
1368246,"Riparia riparia","Bank Swallow","miwasatoshi","inaturalist","2006-07-09",2006,,,,,,,,,,35.131031,-106.6826,"Rio Grande Nature Center",
1368266,"Charadrius nivosus","Snowy Plover","miwasatoshi","inaturalist","2006-07-30",2006,,,,,,,,,,33.6327998773,-118.1058373506,"Bolsa Chica Ecological Reserve",
"ce373","Carpobrotus edulis","Iceplant","Elihu Gevirtz","Elihu Gevirtz http://www.elihugevirtz.com/","2006-08-01",2006,,,,,1500,,,"Public Land","San Luis Obispo",35.0362,-120.621,"Oceano Dunes State Vehicular Recreation Area including Oso Flaco",
"gr6791","Carpobrotus edulis","Iceplant","Jim Pittman","Monterey CNPS","2006-08-04",2006,,,,,,,,"Public Land","Monterey",36.687,-121.812,"Marina Dunes State Park",
"gx1070","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-08-13",2006,,,,,,,,"* National Park Service","Marin",37.82497167,-122.52679667,,
"gx1065","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-08-13",2006,,,,,,,,"* National Park Service","Marin",37.82547,-122.52469167,"bicennntenial camp",
"gx11533","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-08-27",2006,"Mature",,122.2,,"161.87425 square meters","75.5","Dense Monoculture","* National Park Service","Marin",37.8340266667,-122.54487,"coastal trail",
"gx11535","Carpobrotus edulis","Iceplant","Maria Avarez","National Park Service [SFAN]","2006-08-27",2006,"Mature",,90.6,,"120.0 square meters","75.5",,"* National Park Service","Marin",37.83345,-122.5445566667,"coastalsocial bluff",
"gx11536","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-08-27",2006,"Mature",,44.5,,"809.37134 square meters","5.5",,"* National Park Service","Marin",37.8333816667,-122.54401,"social Coastal trailside",
"gx11538","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-08-27",2006,"Mature",,0,,"80.937126 square meters",,,"* National Park Service","Marin",37.8333816667,-122.54401,"social Coastal trailside",
"gx1124","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-08-27",2006,,,,,,,,"* National Park Service","Marin",37.8340266667,-122.54487,"coastal trail",
"gx1127","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-08-27",2006,,,,,,,,"* National Park Service","Marin",37.8333816667,-122.54401,"social Coastal trailside",
"gx1126","Carpobrotus edulis","Iceplant","Maria Avarez","National Park Service [SFAN]","2006-08-27",2006,,,,,,,,"* National Park Service","Marin",37.83345,-122.5445566667,"coastalsocial bluff",
"gx11539","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-08-27",2006,"Mature",,0,,"404.68567 square meters",,,"* National Park Service","Marin",37.8333816667,-122.54401,"social Coastal trailside",
"gx11537","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-08-27",2006,"Mature",,22.3,,"404.68567 square meters","5.5",,"* National Park Service","Marin",37.8333816667,-122.54401,"social Coastal trailside",
"gx1976","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-08-31",2006,,,,,,,,"* National Park Service","San Mateo",37.619705,-122.493175,,
"gx1968","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-08-31",2006,,,,,,,,"* National Park Service","San Mateo",37.61889,-122.48815,,
"gx1981","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-08-31",2006,,,,,,,,"* National Park Service","San Mateo",37.618506,-122.486,,
"gx1164","Carpobrotus edulis","Iceplant","Andrea Williams","National Park Service [SFAN]","2006-09-10",2006,,,,,,,,"* National Park Service","Marin",37.8294799904,-122.5342478277,"Rodeo Beach cliffs",
"gx1178","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-10",2006,,,,,,,,"* National Park Service","Marin",37.8295929771,-122.5302281534,"15 x 2.5 m , upslope from trail",
"gx11549","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,0,,"1.0 square meters",,,"* National Park Service","Marin",37.832925,-122.54146833,"coastal trail, 2x1.5m patch on cliff",
"gx11548","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,0,,"81.0 square meters",,,"* National Park Service","Marin",37.83200667,-122.54149167,"coastal trail (scenic), on cliff, 9x9m patch",
"gx11546","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,0,,"81.0 square meters",,,"* National Park Service","Marin",37.832275,-122.54092,"coastal trail (scenic), 9x9m patch",
"gx1201","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.83400333,-122.54489333,"coastal trail, 20x10m patch",
"gx1202","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.83420333,-122.545145,"on cliff, 8x1m linear along trail",
"gx1205","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.83467,-122.54675167,"20x20m patch, near cliff, coatal trail (social)",
"gx1204","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.83478667,-122.546475,"10x10m patch, on cliff in moist seep",
"gx1198","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.83334833,-122.54431833,"on cliff, social trail",
"gx1199","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.833465,-122.54404,"HRT worksite, piles",
"gx1200","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.833595,-122.54483833,"on cliff, off of social trail",
"gx1195","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.83287833,-122.54226,"social trail, 2m2",
"gx1190","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.832925,-122.54146833,"coastal trail, 2x1.5m patch on cliff",
"gx1196","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.8325,-122.54240833,,
"gx1990","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.8325016,-122.54135,"ALONG HILLSIDE",
"gx1187","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.832275,-122.54092,"coastal trail (scenic), 9x9m patch",
"gx11547","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,0,,"5000.0 square meters",,,"* National Park Service","Marin",37.83188833,-122.540924,"coastal trail (scenic) cliffside, 0.5 hectare patch",
"gx1188","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.83188833,-122.540924,"coastal trail (scenic) cliffside, 0.5 hectare patch",
"gx1189","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.83200667,-122.54149167,"coastal trail (scenic), on cliff, 9x9m patch",
"gx1197","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-09-24",2006,,,,,,,,"* National Park Service","Marin",37.83266,-122.543085,"socail trail, .25 hectare patch",
"gx1791","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-09-28",2006,,,,,,,,"* National Park Service","Marin",37.83397,-122.53421,,
"gx1254","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-09-28",2006,,,,,,,,"* National Park Service","Marin",37.84254667,-122.53301167,,
"gx1247","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-09-28",2006,,,,,,,,"* National Park Service","Marin",37.83519,-122.53730667,"south side of water tank",
"gx1242","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-09-28",2006,,,,,,,,"* National Park Service","Marin",37.83375667,-122.53460833,,
"gx1234","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-09-28",2006,,,,,,,,"* National Park Service","Marin",37.83321667,-122.53526333,"west side of trail, scattered",
"wb831-266","Carpobrotus edulis","Iceplant","Steven Storheim","Council for Watershed Health","2006-10-01",2006,,,73.6822,,,,,"Other / Unknown","Los Angeles",34.17004487,-118.01024015,,
"wb831-265","Carpobrotus edulis","Iceplant","Steven Storheim","Council for Watershed Health","2006-10-01",2006,,,39.7451,,,,,"Other / Unknown","Los Angeles",34.17189442,-118.00871736,,
"wb831-264","Carpobrotus edulis","Iceplant","Steven Storheim","Council for Watershed Health","2006-10-01",2006,,,32.6251,,,,,"Other / Unknown","Los Angeles",34.17273795,-117.99123188,,
"wb831-262","Carpobrotus edulis","Iceplant","Steven Storheim","Council for Watershed Health","2006-10-01",2006,,,38.2714,,,,,"Other / Unknown","Los Angeles",34.17661492,-118.01802794,,
"wb831-261","Carpobrotus edulis","Iceplant","Steven Storheim","Council for Watershed Health","2006-10-01",2006,,,31.152,,,,,"Other / Unknown","Los Angeles",34.17668725,-118.0181535,,
"wb831-260","Carpobrotus edulis","Iceplant","Steven Storheim","Council for Watershed Health","2006-10-01",2006,,,1.3029,,,,,"Other / Unknown","Los Angeles",34.17592297,-118.01849731,,
"wb831-259","Carpobrotus edulis","Iceplant","Steven Storheim","Council for Watershed Health","2006-10-01",2006,,,23.8168,,,,,"Other / Unknown","Los Angeles",34.1764848,-118.01799513,,
"wb831-258","Carpobrotus edulis","Iceplant","Steven Storheim","Council for Watershed Health","2006-10-01",2006,,,33.8142,,,,,"Other / Unknown","Los Angeles",34.1765601,-118.01801355,,
"wb831-257","Carpobrotus edulis","Iceplant","Steven Storheim","Council for Watershed Health","2006-10-01",2006,,,25.8582,,,,,"Other / Unknown","Los Angeles",34.17628876,-118.01806588,,
"wb831-272","Carpobrotus edulis","Iceplant","Steven Storheim","Council for Watershed Health","2006-10-01",2006,,,41.3368,,,,,"Other / Unknown","Los Angeles",34.17048261,-118.01144974,,
"gx1214","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-10-01",2006,,,,,,,,"* National Park Service","Marin",37.828685,-122.53497833,"near rodeo beach",
"gx1255","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-10-11",2006,,,,,,,,"* National Park Service","Marin",37.8230266667,-122.5333066667,"parking lot",
"gx1297","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-10-11",2006,,,,,,,,"* National Park Service","San Francisco",37.8219936816,-122.5300614438,"on bunker, .25 hectare",
"gx1296","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-10-11",2006,,,,,,,,"* National Park Service","San Francisco",37.8210128413,-122.5304858635,"20m2 area",
"gx1280","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-10-11",2006,,,,,,,,"* National Park Service","San Francisco",37.8209581778,-122.5294717549,"8x5m patch,ocean side trail",
"gx1295","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-10-11",2006,,,,,,,,"* National Park Service","San Francisco",37.8209266667,-122.530145,"4x6m patch",
"gx1279","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-10-11",2006,,,,,,,,"* National Park Service","San Francisco",37.8207716667,-122.5300016667,"1m2 patch, isolated",
"gx1283","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-10-11",2006,,,,,,,,"* National Park Service","San Francisco",37.8196666667,-122.530195,"2x3m patch by cliff",
"gx1271","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-10-11",2006,,,,,,,,"* National Park Service","San Francisco",37.8197333333,-122.5307183333,"on cliff, several small clumps",
"gx1285","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-10-11",2006,,,,,,,,"* National Park Service","San Francisco",37.8193112976,-122.5299449907,"10m2 patch",
"gx1290","Carpobrotus edulis","Iceplant","Elizabeth Speith","National Park Service [SFAN]","2006-10-11",2006,,,,,,,,"* National Park Service","San Francisco",37.8186783333,-122.5302766667,"both side trail, 15m2 patch",
"gx1312","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-10-12",2006,,,,,,,,"* National Park Service","Marin",37.8248350841,-122.5122249651,"ridgetop",
"gx1355","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-10-15",2006,,,,,,,,"* National Park Service","San Mateo",37.620165,-122.4922833333,"3 x 3 m patch",
"gx1373","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-10-15",2006,,,,,,,,"* National Park Service","San Mateo",37.6199566667,-122.4927216667,"10 x 5 m",
"gx1367","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-10-15",2006,,,,,,,,"* National Park Service","San Mateo",37.6199633333,-122.492065,"40 x 5 m",
"gx1371","Carpobrotus edulis","Iceplant","Jim Dougherty","National Park Service [SFAN]","2006-10-15",2006,,,,,,,,"* National Park Service","San Mateo",37.6199683333,-122.4925033333,"20 x 10 m",
"xr347434","Carpobrotus edulis","Iceplant","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-10-31",2006,,,130,,"1000 Square Meters",25,,"* National Park Service","Marin",38.02513841,-122.8798073,,
"xr347435","Carpobrotus edulis","Iceplant","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-11-15",2006,,,52,,"400 Square Meters",25,,"* National Park Service","Marin",38.02513841,-122.8798073,,
"xr347436","Carpobrotus edulis","Iceplant","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-11-17",2006,,,65,,"500 Square Meters",25,,"* National Park Service","Marin",38.02513841,-122.8798073,,
"xr347476","Carpobrotus edulis","Iceplant","Cassandra Liu","PORE Vegetation Management; SFAN; BAEDN","2006-12-16",2006,,,91,,"700 Square Meters",25,,"* National Park Service","Marin",38.03124611,-122.9506608,,
"gx11598","Carpobrotus edulis","Iceplant","Maria Alvarez","National Park Service [SFAN]","2006-12-31",2006,"Seedling / rosette",,8.3,,"1659.211 square meters","0.5",,"* National Park Service","Marin",37.824585,-122.5297733333,"east of point bonita ymca on terrace of battery wallace",
"gx11597","Carpobrotus edulis","Iceplant","Maria Alvarez","National Park Service [SFAN]","2006-12-31",2006,"Seedling / rosette",,4,,"809.37 square meters","0.5","Dense Monoculture","* National Park Service","Marin",37.824585,-122.5297733333,"east of point bonita ymca on terrace of battery wallace",
"gx11599","Carpobrotus edulis","Iceplant","Maria Avarez","National Park Service [SFAN]","2006-12-31",2006,"Mature",,61.1,,"80.937126 square meters","75.5",,"* National Park Service","Marin",37.8246166667,-122.5309633333,"RGJIYDR",
"gx1466","Carpobrotus edulis","Iceplant","Maria Alvarez","National Park Service [SFAN]","2006-12-31",2006,,,,,,,,"* National Park Service","Marin",37.824585,-122.5297733333,"east of point bonita ymca on terrace of battery wallace",
"gx1467","Carpobrotus edulis","Iceplant","Maria Alvarez","National Park Service [SFAN]","2006-12-31",2006,,,,,,,,"* National Park Service","Marin",37.8246166667,-122.5309633333,"RGJIYDR",
"gx1469","Carpobrotus edulis","Iceplant","Maria Alvarez","National Park Service [SFAN]","2006-12-31",2006,,,,,,,,"* National Park Service","San Francisco",37.8187766667,-122.5302416667,"LIGHTHOUSE TRAIL",
"gx1468","Carpobrotus edulis","Iceplant","Maria Avarez","National Park Service [SFAN]","2006-12-31",2006,,,,,,,,"* National Park Service","San Francisco",37.8187066667,-122.5299616667,"LIGHGTHOUSAE TRAIL",
"ce162","Carpobrotus edulis","Iceplant","staff","City of Pasadena","2007-01-01",2007,,,,,1300,,,"Public Land","Los Angeles",34.211553,-118.170061,"Hahamongna Watershed Park",
"gr13889","Carpobrotus edulis","Iceplant","Toni Corelli","State Park Volunteer","2007-01-01",2007,,,,,235,,,"Public Land","San Mateo",37.2611,-122.404,"Pescadero Marsh Natural Preserve Pescadero Marsh Natural Preserve, Pescadero State Beach",
"gr16622","Carpobrotus edulis","Iceplant","David Magney",,"2007-01-01",2007,,,,,,,,"Public Land","Ventura",34.1248,-119.1687,"Ormond Beach",
"gx1474","Carpobrotus edulis","Iceplant","Maria Avarez","National Park Service [SFAN]","2007-01-07",2007,,,,,,,,"* National Park Service","Marin",37.8244066667,-122.5299083333,"pulled by HRT today  10x27m by tape",
"gx1471","Carpobrotus edulis","Iceplant","Maria Alvarez","National Park Service [SFAN]","2007-01-07",2007,,,,,,,,"* National Park Service","Marin",37.8244133333,-122.5297333333,"battery wallace",
"gx1472","Carpobrotus edulis","Iceplant","Maria Avarez","National Park Service [SFAN]","2007-01-07",2007,,,,,,,,"* National Park Service","Marin",37.8244133333,-122.5297333333,"pulled patch by hrt",
